year,month,ym,articles_allAK,EPU_BBDAK,EPU_NationalAK,EPU_StateAK,EPU_CompositeAK,articles_allAL,EPU_BBDAL,EPU_NationalAL,EPU_StateAL,EPU_CompositeAL,articles_allAR,EPU_BBDAR,EPU_NationalAR,EPU_StateAR,EPU_CompositeAR,articles_allAZ,EPU_BBDAZ,EPU_NationalAZ,EPU_StateAZ,EPU_CompositeAZ,articles_allCA,EPU_BBDCA,EPU_NationalCA,EPU_StateCA,EPU_CompositeCA,articles_allCO,EPU_BBDCO,EPU_NationalCO,EPU_StateCO,EPU_CompositeCO,articles_allCT,EPU_BBDCT,EPU_NationalCT,EPU_StateCT,EPU_CompositeCT,articles_allDC,EPU_BBDDC,EPU_NationalDC,EPU_StateDC,EPU_CompositeDC,articles_allDE,EPU_BBDDE,EPU_NationalDE,EPU_StateDE,EPU_CompositeDE,articles_allFL,EPU_BBDFL,EPU_NationalFL,EPU_StateFL,EPU_CompositeFL,articles_allGA,EPU_BBDGA,EPU_NationalGA,EPU_StateGA,EPU_CompositeGA,articles_allHI,EPU_BBDHI,EPU_NationalHI,EPU_StateHI,EPU_CompositeHI,articles_allIA,EPU_BBDIA,EPU_NationalIA,EPU_StateIA,EPU_CompositeIA,articles_allID,EPU_BBDID,EPU_NationalID,EPU_StateID,EPU_CompositeID,articles_allIL,EPU_BBDIL,EPU_NationalIL,EPU_StateIL,EPU_CompositeIL,articles_allIN,EPU_BBDIN,EPU_NationalIN,EPU_StateIN,EPU_CompositeIN,articles_allKS,EPU_BBDKS,EPU_NationalKS,EPU_StateKS,EPU_CompositeKS,articles_allKY,EPU_BBDKY,EPU_NationalKY,EPU_StateKY,EPU_CompositeKY,articles_allLA,EPU_BBDLA,EPU_NationalLA,EPU_StateLA,EPU_CompositeLA,articles_allMA,EPU_BBDMA,EPU_NationalMA,EPU_StateMA,EPU_CompositeMA,articles_allMD,EPU_BBDMD,EPU_NationalMD,EPU_StateMD,EPU_CompositeMD,articles_allME,EPU_BBDME,EPU_NationalME,EPU_StateME,EPU_CompositeME,articles_allMI,EPU_BBDMI,EPU_NationalMI,EPU_StateMI,EPU_CompositeMI,articles_allMN,EPU_BBDMN,EPU_NationalMN,EPU_StateMN,EPU_CompositeMN,articles_allMO,EPU_BBDMO,EPU_NationalMO,EPU_StateMO,EPU_CompositeMO,articles_allMS,EPU_BBDMS,EPU_NationalMS,EPU_StateMS,EPU_CompositeMS,articles_allMT,EPU_BBDMT,EPU_NationalMT,EPU_StateMT,EPU_CompositeMT,articles_allNC,EPU_BBDNC,EPU_NationalNC,EPU_StateNC,EPU_CompositeNC,articles_allND,EPU_BBDND,EPU_NationalND,EPU_StateND,EPU_CompositeND,articles_allNE,EPU_BBDNE,EPU_NationalNE,EPU_StateNE,EPU_CompositeNE,articles_allNH,EPU_BBDNH,EPU_NationalNH,EPU_StateNH,EPU_CompositeNH,articles_allNJ,EPU_BBDNJ,EPU_NationalNJ,EPU_StateNJ,EPU_CompositeNJ,articles_allNM,EPU_BBDNM,EPU_NationalNM,EPU_StateNM,EPU_CompositeNM,articles_allNV,EPU_BBDNV,EPU_NationalNV,EPU_StateNV,EPU_CompositeNV,articles_allNY,EPU_BBDNY,EPU_NationalNY,EPU_StateNY,EPU_CompositeNY,articles_allOH,EPU_BBDOH,EPU_NationalOH,EPU_StateOH,EPU_CompositeOH,articles_allOK,EPU_BBDOK,EPU_NationalOK,EPU_StateOK,EPU_CompositeOK,articles_allOR,EPU_BBDOR,EPU_NationalOR,EPU_StateOR,EPU_CompositeOR,articles_allPA,EPU_BBDPA,EPU_NationalPA,EPU_StatePA,EPU_CompositePA,articles_allRI,EPU_BBDRI,EPU_NationalRI,EPU_StateRI,EPU_CompositeRI,articles_allSC,EPU_BBDSC,EPU_NationalSC,EPU_StateSC,EPU_CompositeSC,articles_allSD,EPU_BBDSD,EPU_NationalSD,EPU_StateSD,EPU_CompositeSD,articles_allTN,EPU_BBDTN,EPU_NationalTN,EPU_StateTN,EPU_CompositeTN,articles_allTX,EPU_BBDTX,EPU_NationalTX,EPU_StateTX,EPU_CompositeTX,articles_allUT,EPU_BBDUT,EPU_NationalUT,EPU_StateUT,EPU_CompositeUT,articles_allVA,EPU_BBDVA,EPU_NationalVA,EPU_StateVA,EPU_CompositeVA,articles_allVT,EPU_BBDVT,EPU_NationalVT,EPU_StateVT,EPU_CompositeVT,articles_allWA,EPU_BBDWA,EPU_NationalWA,EPU_StateWA,EPU_CompositeWA,articles_allWI,EPU_BBDWI,EPU_NationalWI,EPU_StateWI,EPU_CompositeWI,articles_allWV,EPU_BBDWV,EPU_NationalWV,EPU_StateWV,EPU_CompositeWV,articles_allWY,EPU_BBDWY,EPU_NationalWY,EPU_StateWY,EPU_CompositeWY,mean_frac_EPU_BBD,mean_frac_EPU_National,mean_frac_EPU_State,mean_frac_EPU_Composite
1985,1,1985,,,,,,,,,,,,,,,,,,,,,12450,291.6113,223.56866,126.36491,291.6113,,,,,,,,,,,,,,,,,,,,,7735,16.298376,0,16.298376,16.298376,4050,846.20026,538.49109,230.78189,730.80933,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222,230.88316,197.89986,98.949928,263.86649,,,,,,2609,301.43619,180.86171,241.14896,301.43619,,,,,,,,,,,,,,,,1901,510.49805,218.78488,145.85658,291.71317,,,,,,,,,,,9099,173.28857,126.02806,31.507015,141.78156,5584,72.090576,48.06039,48.06039,72.090576,,,,,,,,,,,,,,,,2744,316.40421,271.20361,45.200603,316.40421,,,,,,0,,,,,,,,,,3222,92.873428,92.873428,61.915623,123.83125,,,,,,,,,,,,,,,,.002097059,.0014249431,.00077344064,.0019052662
1985,2,1985.0834,,,,,,,,,,,,,,,,,,,,,11863,153.02034,102.01357,40.805428,132.61763,,,,,,,,,,,,,,,,,,,,,7602,33.167046,33.167046,33.167046,49.750565,4019,426.36365,232.562,38.76033,271.32233,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3209,264.93542,165.58464,198.70157,264.93542,,,,,,2398,65.591911,196.77574,65.591911,196.77574,,,,,,,,,,,,,,,,1697,163.39032,81.69516,81.69516,163.39032,,,,,,,,,,,8890,241.85797,209.61024,80.619324,241.85797,5649,71.26107,23.753691,71.26107,95.014763,,,,,,,,,,,,,,,,2984,166.26067,166.26067,41.565166,166.26067,,,,,,0,,,,,,,,,,3690,162.18872,135.15727,108.12582,189.22018,,,,,,,,,,,,,,,,.0013537932,.0010332225,.00062377489,.0013787666
1985,3,1985.1666,,,,,,,,,,,,,,,,,,,,,14287,152.46983,84.70546,59.293819,135.52873,,,,,,,,,,,,,,,,,,,,,8693,87.013412,58.008945,72.511185,101.51566,4809,161.96483,97.178894,64.785927,161.96483,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601,118.04745,88.535591,59.023724,147.55933,,,,,,2803,224.45865,168.34399,224.45865,224.45865,,,,,,,,,,,,,,,,2283,60.725662,60.725662,60.725662,60.725662,,,,,,,,,,,9884,174.02812,203.03279,72.511711,246.53983,6404,146.67274,104.76624,104.76624,167.62599,,,,,,,,,,,,,,,,3116,79.608765,119.41315,39.804382,159.21753,,,,,,0,,,,,,,,,,4385,272.96527,250.21817,181.97685,341.2066,,,,,,,,,,,,,,,,.0011651281,.00097938289,.00073334377,.0013892048
1985,4,1985.25,,,,,,,,,,,,,,,,,,,,,13862,104.76298,104.76298,34.92099,122.22347,,,,,,,,,,,,,,,,,,,,,17589,43.004585,35.837154,14.334861,50.172016,4645,234.75661,167.68329,167.68329,268.29327,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333,223.19397,191.30913,31.884853,223.19397,,,,,,2652,237.23892,177.9292,59.309731,177.9292,,,,,,,,,,,,,,,,2351,176.90773,117.93848,58.969242,117.93848,,,,,,,,,,,9619,149.01877,89.411263,89.411263,149.01877,6153,43.615993,43.615993,43.615993,87.231987,,,,,,,,,,,,,,,,2686,46.17664,46.17664,46.17664,92.353279,,,,,,0,,,,,,,,,,4225,165.25975,94.434143,118.04268,188.86829,,,,,,,,,,,,,,,,.0010992113,.00082763308,.00050856901,.0011540138
1985,5,1985.3334,,,,,,,,,,,,,,,,,,,,,14820,122.48856,89.824944,89.824944,138.82036,,,,,,,,,,,,,,,,,,,,,18171,48.565052,62.440781,13.87573,62.440781,5028,154.91028,185.89233,61.964111,216.87437,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3223,98.919228,32.973076,32.973076,65.946152,,,,,,2560,122.88235,184.32353,122.88235,184.32353,,,,,,,,,,,,,,,,2258,429.78601,306.98999,122.796,306.98999,,,,,,,,,,,10241,167.96152,139.96793,41.990379,181.95831,6610,81.200966,101.50121,20.300241,101.50121,,,,,,,,,,,,,,,,3298,225.64665,225.64665,37.607777,225.64665,,,,,,0,,,,,,,,,,4569,240.14154,218.3105,87.324196,283.80365,,,,,,,,,,,,,,,,.0013207672,.001186819,.0004850243,.0013731744
1985,6,1985.4166,,,,,,,,,,,,,,,,,,,,,18490,281.43881,196.35266,117.8116,274.89374,,,,,,,,,,,,,,,,,,,,,17513,57.588276,64.786812,7.1985345,71.985352,4578,340.27475,374.30222,68.054947,408.32968,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3169,167.67468,134.13976,134.13976,201.20963,,,,,,2697,116.64027,174.9604,116.64027,174.9604,,,,,,,,,,,,,,,,2238,185.84007,309.73343,61.94669,309.73343,,,,,,,,,,,9450,151.68376,91.010254,91.010254,136.51538,6053,133.00967,66.504837,88.673126,133.00967,,,,,,,,,,,,,,,,3240,153.12402,114.843,38.281006,114.843,,,,,,0,,,,,,,,,,4408,67.885246,90.513672,22.628418,90.513672,,,,,,,,,,,,,,,,.001259117,.0012111821,.00057493441,.0014480553
1985,7,1985.5,,,,,,,,,,,,,,,,,,,,,18861,153.99229,141.15961,76.996147,198.90671,,,,,,,,,,,,,,,,,,,,,17550,64.650223,50.283508,28.733433,64.650223,4551,273.83481,239.60545,34.229351,273.83481,,,,,,,,,,,,,,,,1212,124.55294,0,124.55294,124.55294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2945,180.42822,72.171288,72.171288,144.34258,,,,,,2348,66.98867,66.98867,133.97734,133.97734,,,,,,,,,,,,,,,,3333,124.7855,124.7855,41.595165,166.38066,,,,,,,,,,,9116,172.96542,125.79303,47.172386,157.24129,5769,139.55756,69.778778,23.259594,69.778778,,,,,,,,,,,,,,,,3233,153.45555,153.45555,38.363888,153.45555,,,,,,0,,,,,,,,,,4086,244.11667,244.11667,24.411665,268.52832,,,,,,,,,,,,,,,,.0012112124,.0009264304,.00043603496,.001245078
1985,8,1985.5834,,,,,,,,,,,,,,,,,,,,,19436,143.21002,118.30392,37.359135,143.21002,,,,,,,,,,,,,,,,,,,,,18042,62.88723,62.88723,27.949881,62.88723,5112,274.25665,243.78368,91.418884,274.25665,,,,,,,,,,,,,,,,1384,109.07381,0,109.07381,109.07381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3186,66.712006,66.712006,33.356003,100.068,,,,,,2331,67.477226,67.477226,67.477226,67.477226,,,,,,,,,,,,,,,,4672,89.021843,118.69579,59.347897,148.36974,,,,,,,,,,,9332,199.68228,122.8814,92.161057,199.68228,5654,94.93074,47.46537,47.46537,71.198059,,,,,,,,,,,,,,,,3290,226.19534,188.49612,75.398445,226.19534,,,,,,1663,65.499397,0,65.499397,65.499397,,,,,,4117,145.36711,121.13925,72.683556,145.36711,,,,,,,,,,,,,,,,.00098725886,.00074162422,.00049544638,.0010343497
1985,9,1985.6666,,,,,,,,,,,,,,,,,,,,,19352,143.83163,143.83163,43.774849,187.60649,,,,,,,,,,,,,,,,,,,,,19270,32.710934,19.62656,13.084373,32.710934,4965,156.8759,188.2511,31.375181,219.62627,,,,,,,,,,,,,,,,1238,121.93713,0,121.93713,121.93713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,138.91794,104.18845,69.458969,104.18845,,,,,,2278,69.04715,69.04715,138.0943,138.0943,,,,,,,,,,,,,,,,4361,127.16045,127.16045,63.580227,127.16045,,,,,,,,,,,5319,350.3356,26.948891,26.948891,53.897781,5561,144.7775,96.518326,48.259163,96.518326,,,,,,,,,,,,,,,,3291,301.50217,226.12662,75.375542,301.50217,,,,,,3724,87.748787,87.748787,29.249596,116.99838,,,,,,4233,164.94742,164.94742,70.69175,188.51135,,,,,,,,,,,,,,,,.001194943,.00083991309,.00046645477,.0011077585
1985,10,1985.75,,,,,,,,,,,,,,,,,,,,,23217,83.400055,57.337536,31.275023,83.400055,,,,,,,,,,,,,,,,,,,,,19594,57.906063,25.736031,32.170036,51.472061,5474,170.74657,170.74657,28.45776,170.74657,,,,,,,,,,,,,,,,1366,110.5111,0,110.5111,110.5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3255,195.89349,97.946747,130.59566,228.5424,,,,,,2697,58.320137,58.320137,58.320137,116.64027,,,,,,,,,,,,,,,,5054,27.431082,27.431082,27.431082,54.862164,,,,,,,,,,,6248,91.767708,91.767708,91.767708,183.53542,6026,22.267609,22.267609,44.535217,44.535217,,,,,,,,,,,,,,,,3808,227.99715,195.42613,65.142044,227.99715,,,,,,4051,26.888544,26.888544,80.665634,80.665634,,,,,,4438,314.65637,247.23,89.901817,292.18091,,,,,,,,,,,,,,,,.00095286727,.00069762993,.00053042138,.0011111473
