state,year,month,is_school,is_res,is_bus,is_sip
TN,2020,5,.55955756,.084377266,.084377266,.033978496
TX,2020,3,.62099206,.75,.45417452,.45304948
TX,2020,4,.79021418,1,1,1
TX,2020,5,.79021418,0,0,0
UT,2020,3,.64285976,.75,.0092540365,.14771065
UT,2020,4,.8203007,1,.023939045,.57776552
UT,2020,5,.8203007,0,0,0
VA,2020,3,.61038131,.5,.5,.25
VA,2020,4,.61038131,1,1,1
VA,2020,5,.61038131,.66164064,.663517,1
VT,2020,3,.33335125,.75,.5,.5
VT,2020,4,.44446832,1,1,1
VT,2020,5,.44446832,.75,0,.5
WA,2020,3,.84702384,.75,.5,.5
WA,2020,4,.84702384,1,1,1
WA,2020,5,.84702384,.96644217,.96644217,1
WI,2020,3,.42403752,.75,.5,.5
WI,2020,4,.56538337,1,1,1
WI,2020,5,.56538337,.55435586,.55435586,.55435586
WV,2020,3,.19938737,.75,.5,.5
WV,2020,4,.19938737,1,1,1
WV,2020,5,.19938737,.25,.25,.25
WY,2020,3,.28428179,.75,0,0
WY,2020,4,.37904239,1,0,0
WY,2020,5,.37904239,.33670714,0,0
