state,date,year,month,day,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures
AL,22106,2020,7,10,0,0,1,0,0,0,1,0
AL,22109,2020,7,13,0,0,1,0,0,0,1,0
AL,22111,2020,7,15,0,0,1,0,0,0,1,0
AL,22112,2020,7,16,0,0,1,0,0,0,2,0
AL,22113,2020,7,17,0,0,1,0,0,0,2,0
AL,22116,2020,7,20,0,0,1,0,0,0,2,0
AL,22117,2020,7,21,0,0,1,0,0,0,2,0
AL,22119,2020,7,23,0,0,1,0,0,0,2,0
AL,22123,2020,7,27,0,0,1,0,0,0,2,0
AL,22124,2020,7,28,0,0,1,0,0,0,2,0
AL,22126,2020,7,30,0,0,1,0,0,0,2,0
AL,22130,2020,8,3,0,0,1,0,0,0,2,0
AL,22132,2020,8,5,0,0,1,0,0,0,2,0
AL,22138,2020,8,11,0,0,1,0,0,0,2,0
AL,22158,2020,8,31,0,0,1,0,0,0,2,0
AL,22160,2020,9,2,0,0,1,0,0,0,2,0
AL,22166,2020,9,8,0,0,1,0,0,0,2,0
AL,22172,2020,9,14,0,0,1,0,0,0,2,0
AL,22180,2020,9,22,0,0,1,0,0,0,2,0
AL,22182,2020,9,24,0,0,1,0,0,0,2,0
AL,22189,2020,10,1,0,0,1,0,0,0,2,0
AL,22193,2020,10,5,0,0,1,0,0,0,2,0
AL,22210,2020,10,22,0,0,1,0,0,0,2,0
AL,22211,2020,10,23,0,0,1,0,0,0,2,0
AL,22215,2020,10,27,0,0,1,0,0,0,2,0
AL,22221,2020,11,2,0,0,1,0,0,0,2,0
AL,22225,2020,11,6,0,0,1,0,0,0,2,0
AL,22230,2020,11,11,0,0,1,0,0,0,2,0
AL,22232,2020,11,13,0,0,1,0,0,0,2,0
AL,22235,2020,11,16,0,0,1,0,0,0,2,0
AL,22239,2020,11,20,0,0,1,0,0,0,2,0
AL,22249,2020,11,30,0,0,1,0,0,0,2,0
AL,22250,2020,12,1,0,0,1,0,0,0,2,0
AL,22258,2020,12,9,0,0,1,0,0,0,2,0
AL,22260,2020,12,11,0,0,1,0,0,0,2,0
AL,22263,2020,12,14,0,0,1,0,0,0,2,0
AL,22266,2020,12,17,0,0,1,0,0,0,2,0
AL,22267,2020,12,18,0,0,1,0,0,0,2,0
AL,22269,2020,12,20,0,0,1,0,0,0,2,0
AL,22284,2021,1,4,0,0,1,0,0,0,2,0
AL,22288,2021,1,8,0,0,1,0,0,0,2,0
AL,22291,2021,1,11,0,0,1,0,0,0,2,0
AL,22292,2021,1,12,0,0,1,0,0,0,2,0
AL,22294,2021,1,14,0,0,1,0,0,0,2,0
AL,22295,2021,1,15,0,0,1,0,0,0,2,0
AL,22299,2021,1,19,0,0,1,0,0,0,2,0
AL,22301,2021,1,21,0,0,1,0,0,0,2,0
AL,22302,2021,1,22,0,0,1,0,0,0,2,0
AL,22305,2021,1,25,0,0,1,0,0,0,2,0
AL,22306,2021,1,26,0,0,1,0,0,0,2,0
AL,22308,2021,1,28,0,0,1,0,0,0,2,0
AL,22309,2021,1,29,0,0,1,0,0,0,2,0
AL,22312,2021,2,1,0,0,1,0,0,0,2,0
AL,22314,2021,2,3,0,0,1,0,0,0,2,0
AL,22320,2021,2,9,0,0,1,0,0,0,2,0
