D01,D02,D03,D04,D05,D06,D07,D08,D09,FEVD01,FEVD04,FEVD07,FEVD02,FEVD05,FEVD08,FEVD03,FEVD06,FEVD09,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pD05_ll,pD05_ul,pD06_ll,pD06_ul,pD07_ll,pD07_ul,pD08_ll,pD08_ul,pD09_ll,pD09_ul,pFEVD01_ll,pFEVD01_ul,pFEVD04_ll,pFEVD04_ul,pFEVD07_ll,pFEVD07_ul,pFEVD02_ll,pFEVD02_ul,pFEVD05_ll,pFEVD05_ul,pFEVD08_ll,pFEVD08_ul,pFEVD03_ll,pFEVD03_ul,pFEVD06_ll,pFEVD06_ul,pFEVD09_ll,pFEVD09_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nD05_ll,nD05_ul,nD06_ll,nD06_ul,nD07_ll,nD07_ul,nD08_ll,nD08_ul,nD09_ll,nD09_ul,nFEVD01_ll,nFEVD01_ul,nFEVD04_ll,nFEVD04_ul,nFEVD07_ll,nFEVD07_ul,nFEVD02_ll,nFEVD02_ul,nFEVD05_ll,nFEVD05_ul,nFEVD08_ll,nFEVD08_ul,nFEVD03_ll,nFEVD03_ul,nFEVD06_ll,nFEVD06_ul,nFEVD09_ll,nFEVD09_ul
.033014823,.021007059,.044654269,.022745732,.033850152,.070975035,.023315024,.018284226,.3232471,.92020214,.06135527,.01844258,.19127747,.78565127,.023071267,.012144119,.032972466,.9548834,10,.014786816,.042952135,.004297629,.033325791,.0059256777,.075664803,.0065783509,.037512474,.014479289,.048881311,.036232367,.09641809,.0045165564,.039210431,-.0012827932,.032718942,.18462175,.51679301,.86093378,.9565171,.031785976,.096295759,.0034051761,.051977243,.13117862,.24791837,.71955335,.84898639,.0038464391,.075273275,.00081074331,.036484603,.010453384,.083483279,.88724244,.98236978,.018919908,.047109738,.0075610955,.034453023,.010405105,.078903429,.0068449471,.038646515,.017867979,.049832322,.040522669,.1014274,.0060717198,.040558327,.0024747292,.034093723,.14925177,.49724245,.8770299,.96337438,.028235829,.094474711,-.006831076,.043716237,.13308769,.24946725,.72106892,.85023361,-.011001179,.057143711,-.0052006934,.02948893,-.0079849875,.073929921,.90356827,1.0061985
.028214533,.018430524,.046486676,.021035647,.029695405,.0732987,.022105442,.017264139,.32658961,.91712987,.062686667,.020183435,.19170602,.7835381,.024755877,.012952265,.034691066,.9523567,11,.010960316,.037536405,.0033054282,.030516796,.0053182151,.079743519,.004983048,.033719178,.011078449,.043851994,.036415473,.098492905,.0031800228,.03714446,-.0026318317,.031994231,.18426287,.52038491,.85490644,.95465887,.032188468,.099190474,.0035920185,.056358933,.13134444,.24954201,.71601987,.8484019,.0038590054,.079495348,.000728935,.039758909,.010718699,.087566748,.8804509,.98198479,.014859907,.041569158,.0057175988,.031143449,.010638367,.08233498,.0058832881,.036188006,.014463427,.044927385,.041046415,.10555099,.0053135012,.038897384,.0017201167,.032808162,.15050419,.50267506,.87186486,.96239489,.028505234,.096868098,-.0071664271,.047533296,.13304211,.25036994,.71762335,.84945285,-.011754219,.061265972,-.0058983644,.031802896,-.0089698732,.078352004,.89701712,1.0076963
.02477617,.016040418,.048042048,.018806538,.026074555,.074902028,.021419482,.016839786,.32852256,.91442376,.063834444,.021741806,.19198459,.7817598,.026255582,.013705162,.036249086,.95004576,12,.008930861,.034383651,.0020986712,.027229063,.0045895549,.082438737,.0034673945,.030453637,.0088387709,.039458975,.035301536,.10009904,.0029879338,.035266101,-.0019734285,.031134948,.18236724,.5225755,.84968078,.95291245,.032524459,.10189116,.003793583,.060455222,.13149014,.25059825,.7127353,.84798157,.003868646,.083018497,.00070289895,.042644128,.010918907,.091424555,.87425697,.98211491,.012266827,.037285514,.0041278452,.02795299,.010689517,.085394576,.0044655954,.03314748,.011734365,.040414743,.040937781,.10886627,.0052521676,.037586797,.0018303548,.031849217,.15116881,.5058763,.86734623,.9615013,.028739326,.098929562,-.0073956302,.05087924,.13294607,.25102311,.71469259,.848827,-.012353892,.064865053,-.006637394,.034047719,-.0099965576,.082494728,.89081454,1.009277
.020983959,.014282758,.049244191,.017336424,.022731468,.076173417,.021078603,.016649652,.3289811,.91206431,.06473197,.023203705,.19211571,.78019041,.02769389,.014410295,.037630286,.94795942,13,.0068575144,.030514091,.0019129564,.025097264,.003828085,.085476972,.0025693199,.029038105,.0070740762,.03502921,.034159742,.10261998,.0031063748,.034736201,-.001773878,.030027652,.17967977,.52263248,.84541488,.95092785,.03278558,.10460851,.0039021503,.064040288,.13153479,.25203124,.70847964,.84768295,.0040175351,.085909396,.0006467757,.045248888,.011231115,.096088886,.86865515,.98246551,.0094044106,.032563508,.0032213326,.025344184,.010557559,.087930821,.003909912,.030762935,.0093478626,.036115076,.040655181,.11169165,.0051571662,.037000041,.0018326845,.031466622,.15111066,.50685149,.86340857,.96072006,.028882312,.10058163,-.0075209355,.053928345,.13276103,.25147039,.7121014,.84827942,-.012826155,.068213932,-.0073995329,.036220122,-.011044643,.086305216,.88501501,1.0109038
.018163592,.012699068,.050162088,.015698347,.019970644,.077123567,.020644376,.016244207,.32795385,.90988386,.065493807,.024622347,.19218552,.77870154,.029112937,.015066529,.038878143,.94605535,14,.0056478074,.02742045,.0015361654,.02327849,.0029866276,.086300328,.0028169283,.027150474,.0056379689,.031903826,.033035267,.10540191,.0023751359,.032921597,-.001536546,.028877821,.17663202,.52088869,.84174979,.95005369,.032880142,.10692535,.0040406659,.067375652,.13156262,.2529465,.70457399,.84739196,.0041614715,.089926228,.00060669373,.048257247,.011667369,.10184785,.86351568,.9827559,.0075048287,.028822355,.0024649731,.022933163,.010362236,.089961939,.0031783178,.028218377,.0075372839,.032404006,.040206935,.1140402,.0050053308,.036283419,.0017498706,.030738542,.150319,.50558871,.8597669,.96000081,.028973956,.10201366,-.0075974227,.056842119,.1325579,.25181314,.70966703,.84773606,-.013239833,.071465708,-.0081679672,.038301025,-.01209848,.089854769,.87956762,1.0125431
.015829183,.011279559,.050820895,.014281743,.017667416,.077779889,.020090701,.015710991,.32583591,.90790874,.066107005,.025984263,.192202,.77732748,.030470537,.015679134,.0400244,.94429648,15,.0046494072,.024791662,.001148568,.021371553,.0021834176,.086988501,.0027189758,.025263917,.0046336348,.02922933,.031952631,.10763577,.0011068959,.031882327,-.001536959,.028148651,.17314783,.51748908,.83850574,.94932574,.03300897,.10897332,.0041317241,.07052505,.13146013,.25330198,.70275009,.84707654,.0042005326,.093632542,.00062184222,.051525958,.011842387,.10618883,.85776252,.98303539,.0059639066,.02569446,.0018036329,.020755483,.010111717,.091530077,.0026792639,.025884222,.0061350781,.029199755,.039633151,.11592663,.0045550368,.035626363,.0013726036,.03004938,.14890887,.50276297,.8564561,.95936137,.029013433,.10320058,-.0076364623,.059604988,.1323431,.25206092,.70742995,.84722501,-.013585654,.074526727,-.0089348303,.040293097,-.013147204,.093196005,.8744148,1.0141782
.013843762,.010025457,.051268701,.013019066,.015673783,.078107744,.019401804,.015102617,.32291144,.90612102,.066604994,.027274014,.19217573,.77608007,.031744186,.016250975,.04108721,.94266182,16,.0037935744,.02243644,.00088027917,.019507775,.0014416716,.088285953,.0020868906,.0233353,.0038281889,.026742846,.030818516,.10899828,.00058890472,.030454624,-.0014512332,.027177934,.16838112,.51312178,.83559191,.9487173,.033149995,.1108449,.0042628981,.073436178,.13134387,.25357926,.70171666,.8468442,.0042491183,.097091839,.00060568919,.054750096,.011914841,.1089295,.8508057,.98297858,.0047461134,.022941411,.001280547,.018770367,.0098439287,.09269347,.0022388503,.023799282,.0049804724,.026367093,.038883369,.11733212,.0040459605,.034757644,.00097742269,.02922781,.146952,.49887085,.85345203,.95879,.029029135,.10418085,-.0076534562,.062201485,.13211922,.25223222,.70539635,.84676379,-.013881556,.077369928,-.0096919695,.042193919,-.014182984,.096357405,.86952889,1.0157948
.012133118,.0089442395,.051520862,.011930946,.013927578,.07813897,.018746251,.014581446,.31934816,.90451276,.067011088,.028476132,.19212037,.77495617,.032923441,.016785504,.042071048,.94114345,17,.0030357677,.020320401,.00071232405,.017676678,.00075089699,.089325279,.0018039565,.021751218,.0031248392,.024309002,.029628087,.10962944,-.00063855358,.02933057,-.00186861,.026303917,.16397487,.50789571,.83301222,.94819283,.033258155,.11242638,.0044103106,.076047838,.13124029,.25378853,.70091009,.84666765,.0042984583,.10017936,.00059827277,.057847735,.011941625,.11140173,.84414232,.98280895,.0037404802,.020525755,.00090156158,.016986916,.0095338095,.093507916,.0019312911,.021930601,.0040333872,.023821769,.037986811,.11829112,.0035172123,.033975292,.00057411095,.028588781,.14458753,.4941088,.85075188,.95827365,.029031236,.10499094,-.0076443711,.064596638,.13190144,.2523393,.70356834,.84634399,-.01411949,.079966374,-.010433828,.044004839,-.015197611,.099339709,.86490613,1.0173807
.010709967,.0079971924,.051598258,.010909958,.012400853,.077922031,.018145734,.014114924,.31520712,.90305656,.067345701,.029597741,.19204481,.77393001,.03402517,.017285008,.042979375,.93973559,18,.0024841989,.018534463,.00057313131,.016016938,.00012307541,.088912725,.0016397566,.020383134,.0024221053,.021943536,.028766567,.10992213,-.0016975893,.02854301,-.0022899951,.025339868,.15872422,.50197822,.83069265,.94788265,.033351257,.11376365,.0045512528,.07836888,.13115004,.25393909,.7000618,.84653878,.0044589881,.10301693,.00059965462,.060813524,.011769101,.11494604,.83717978,.98265064,.0029711386,.018448794,.00060441671,.015389969,.009209685,.093986832,.0016087788,.020211138,.0032437148,.021557992,.036994666,.11884939,.0030369204,.033254545,.00021845523,.028011393,.14182636,.48858789,.84831166,.95780146,.029025337,.10566606,-.0076148636,.066810347,.13168912,.25240052,.7019062,.84595382,-.014314909,.082365252,-.011155352,.045725368,-.016184999,.10214375,.86054575,1.0189254
.009463721,.007188125,.051511928,.010012879,.011064758,.077505752,.017592099,.013676497,.31054291,.90173364,.067618243,.030648127,.19195467,.77298558,.035059724,.017751902,.043817978,.93843013,19,.001998889,.016869411,.00052148313,.014537098,-.00044803688,.088041008,.0016257446,.018853646,.0017801101,.01982557,.028313275,.10991659,-.0026991032,.027881417,-.003150732,.024840577,.15313911,.49707308,.82861096,.94767606,.033426881,.11488023,.004687591,.080453835,.13106915,.25404167,.69846594,.8464402,.0046024816,.10557777,.00059660856,.063639522,.011525396,.11852509,.83135599,.98250294,.0023298515,.016597591,.00039823161,.013978018,.0088722613,.094151594,.0013720996,.018653659,.0025944235,.019535093,.035952754,.11905875,.0025565007,.032627694,-.00015658679,.027509579,.13872591,.48235989,.84609699,.95737028,.029012183,.10622431,-.0075726253,.068868883,.13148458,.25242475,.70038295,.84558821,-.014476979,.084596425,-.011852163,.047355969,-.017138852,.10477481,.85644144,1.0204189
