state,year,month,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures,is_school,is_res,is_bus,is_sip
CT,2021,1,0,1,1,1,0,1,1,1,,,,
CT,2021,2,0,1,1,1,0,1,1,1,,,,
CT,2021,3,0,.22580644,1,1,0,1,1,1,,,,
CT,2021,4,0,0,.83333331,1,0,.83333331,1,1,,,,
CT,2021,5,0,0,0,.74193549,0,0,1,.74193549,,,,
CT,2021,6,0,0,0,0,0,0,1,0,,,,
CT,2021,7,0,0,0,0,0,0,1,0,,,,
DC,2020,6,0,0,1,1,1,1,.22222222,1,,,,
DC,2020,7,0,.16129032,1,1,.22580644,1,1,1,,,,
DC,2020,8,0,1,1,1,0,1,1,1,,,,
DC,2020,9,0,1,1,1,0,1,1,1,,,,
DC,2020,10,0,1,1,1,0,1,1,1,,,,
DC,2020,11,0,1,1,1,0,1,1,1,,,,
DC,2020,12,0,1,1,1,0,1,1,1,,,,
DC,2021,1,0,1,1,1,0,1,1,1,,,,
DC,2021,2,0,1,1,1,0,1,1,1,,,,
DC,2021,3,0,1,1,1,0,1,1,1,,,,
DC,2021,4,0,1,1,1,0,1,1,1,,,,
DC,2021,5,0,.51612902,.74193549,.74193549,0,.74193549,1,1,,,,
DC,2021,6,0,0,0,0,0,0,.43333334,.43333334,,,,
DC,2021,7,0,0,0,0,0,0,0,0,,,,
DE,2020,6,0,0,1,1,1,1,.22222222,1,,,,
DE,2020,7,0,0,1,1,.22580644,1,1,1,,,,
DE,2020,8,0,0,1,1,0,1,1,1,,,,
DE,2020,9,0,0,1,1,0,1,1,1,,,,
DE,2020,10,0,0,1,1,0,1,1,1,,,,
DE,2020,11,0,0,1,1,0,1,1,.53333336,,,,
DE,2020,12,0,0,1,1,0,1,1,1,,,,
DE,2021,1,0,0,1,1,0,1,1,1,,,,
DE,2021,2,0,0,1,1,0,1,1,1,,,,
DE,2021,3,0,0,1,1,0,1,1,1,,,,
DE,2021,4,0,0,1,1,0,1,1,1,,,,
DE,2021,5,0,0,.74193549,1,0,.74193549,.74193549,.74193549,,,,
DE,2021,6,0,0,0,1,0,0,0,0,,,,
DE,2021,7,0,0,0,1,0,0,0,0,,,,
FL,2020,6,0,1,1,.037037037,1,1,.22222222,1,,,,
FL,2020,7,0,1,1,0,.22580644,1,1,1,,,,
FL,2020,8,0,.96774191,1,0,0,1,1,1,,,,
FL,2020,9,0,0,.76666665,0,0,.76666665,1,.76666665,,,,
FL,2020,10,0,0,0,0,0,0,1,0,,,,
FL,2020,11,0,0,0,0,0,0,1,0,,,,
FL,2020,12,0,0,0,0,0,0,0,0,,,,
FL,2021,1,0,0,0,0,0,0,0,0,,,,
FL,2021,2,0,0,0,0,0,0,0,0,,,,
FL,2021,3,0,0,0,0,0,0,0,0,,,,
FL,2021,4,0,0,0,0,0,0,0,0,,,,
FL,2021,5,0,0,0,0,0,0,0,0,,,,
FL,2021,6,0,0,0,0,0,0,0,0,,,,
FL,2021,7,0,0,0,0,0,0,0,0,,,,
GA,2020,6,1,0,.48148149,1,1,.48148149,.22222222,.48148149,,,,
GA,2020,7,1,0,0,1,.22580644,0,1,0,,,,
GA,2020,8,1,0,0,1,0,0,1,0,,,,
GA,2020,9,1,0,0,1,0,0,1,0,,,,
GA,2020,10,1,0,0,1,0,0,1,0,,,,
GA,2020,11,1,0,0,1,0,0,1,0,,,,
GA,2020,12,1,0,0,1,0,0,1,0,,,,
GA,2021,1,1,0,0,1,0,0,1,0,,,,
GA,2021,2,1,0,0,1,0,0,.53571427,0,,,,
GA,2021,3,1,0,0,1,0,0,0,0,,,,
GA,2021,4,.13333334,0,0,.13333334,0,0,0,0,,,,
GA,2021,5,0,0,0,0,0,0,0,0,,,,
GA,2021,6,0,0,0,0,0,0,0,0,,,,
GA,2021,7,0,0,0,0,0,0,0,0,,,,
HI,2020,6,1,1,1,1,1,.66666669,.22222222,.66666669,,,,
HI,2020,7,.45161289,1,1,1,.22580644,0,1,0,,,,
HI,2020,8,.032258064,1,1,1,0,.032258064,1,.032258064,,,,
HI,2020,9,1,1,1,1,0,1,1,1,,,,
HI,2020,10,.7096774,1,1,1,0,1,1,1,,,,
HI,2020,11,0,1,1,1,0,1,1,1,,,,
HI,2020,12,0,1,1,1,0,1,1,1,,,,
HI,2021,1,0,1,1,1,0,1,1,1,,,,
HI,2021,2,0,1,1,1,0,1,1,1,,,,
HI,2021,3,0,1,1,1,0,0,1,.90322578,,,,
HI,2021,4,0,1,1,1,0,0,1,0,,,,
HI,2021,5,0,1,1,1,0,0,1,0,,,,
HI,2021,6,0,1,1,1,0,0,1,0,,,,
HI,2021,7,0,1,1,1,0,0,1,0,,,,
IA,2020,6,0,0,1,1,1,.2962963,.22222222,.2962963,,,,
IA,2020,7,0,0,0,1,.22580644,0,1,0,,,,
IA,2020,8,0,0,0,1,0,0,1,0,,,,
IA,2020,9,0,0,0,1,0,0,1,0,,,,
IA,2020,10,0,0,0,1,0,0,1,0,,,,
IA,2020,11,0,0,0,1,0,.36666667,1,0,,,,
IA,2020,12,0,0,0,.51612902,0,.51612902,1,0,,,,
IA,2021,1,0,0,0,0,0,0,1,0,,,,
IA,2021,2,0,0,0,0,0,0,.53571427,0,,,,
IA,2021,3,0,0,0,0,0,0,0,0,,,,
IA,2021,4,0,0,0,0,0,0,0,0,,,,
IA,2021,5,0,0,0,0,0,0,0,0,,,,
IA,2021,6,0,0,0,0,0,0,0,0,,,,
IA,2021,7,0,0,0,0,0,0,0,0,,,,
ID,2020,6,0,0,1,0,1,1,0,1,,,,
ID,2020,7,0,0,1,0,.22580644,1,0,0,,,,
ID,2020,8,0,0,1,0,0,1,0,0,,,,
ID,2020,9,0,0,1,0,0,1,0,0,,,,
ID,2020,10,0,0,0,.16129032,0,.16129032,0,.16129032,,,,
ID,2020,11,0,0,0,1,0,1,.36666667,1,,,,
ID,2020,12,0,0,0,1,0,1,1,1,,,,
ID,2021,1,0,0,0,1,0,1,1,1,,,,
ID,2021,2,0,0,0,1,0,.071428575,.53571427,.071428575,,,,
ID,2021,3,0,0,0,1,0,0,0,0,,,,
ID,2021,4,0,0,0,1,0,0,0,0,,,,
ID,2021,5,0,0,0,.51612902,0,0,0,0,,,,
ID,2021,6,0,0,0,0,0,0,0,0,,,,
ID,2021,7,0,0,0,0,0,0,0,0,,,,
IL,2020,6,0,0,1,1,1,1,.22222222,1,,,,
IL,2020,7,0,0,1,1,.22580644,1,1,0,,,,
IL,2020,8,0,0,1,1,0,1,1,0,,,,
IL,2020,9,0,0,1,1,0,1,1,0,,,,
IL,2020,10,0,0,1,1,0,1,1,.16129032,,,,
IL,2020,11,0,0,1,1,0,1,1,1,,,,
IL,2020,12,0,0,1,1,0,1,1,1,,,,
IL,2021,1,0,0,1,1,0,1,1,1,,,,
IL,2021,2,0,0,1,1,0,.53571427,1,.53571427,,,,
IL,2021,3,0,0,1,1,0,1,1,1,,,,
IL,2021,4,0,0,1,1,0,1,1,1,,,,
IL,2021,5,0,0,1,.74193549,0,.74193549,1,.74193549,,,,
IL,2021,6,0,0,.43333334,0,0,0,.43333334,0,,,,
IL,2021,7,0,0,0,0,0,0,0,0,,,,
IN,2020,6,0,0,1,1,1,1,.22222222,1,,,,
IN,2020,7,0,0,1,1,.22580644,1,1,0,,,,
IN,2020,8,0,0,1,1,0,1,1,0,,,,
IN,2020,9,0,0,.76666665,.76666665,0,.76666665,1,0,,,,
IN,2020,10,0,0,0,0,0,0,1,0,,,,
IN,2020,11,0,0,0,.5,0,0,1,0,,,,
IN,2020,12,0,0,0,1,0,0,1,0,,,,
IN,2021,1,0,0,0,1,0,0,1,0,,,,
IN,2021,2,0,0,0,1,0,0,1,0,,,,
IN,2021,3,0,0,0,1,0,0,1,0,,,,
IN,2021,4,0,0,0,.13333334,0,0,.13333334,0,,,,
IN,2021,5,0,0,0,0,0,0,0,0,,,,
IN,2021,6,0,0,0,0,0,0,0,0,,,,
IN,2021,7,0,0,0,0,0,0,0,0,,,,
KS,2020,6,0,1,0,1,1,.2962963,.037037037,.2962963,,,,
KS,2020,7,0,1,0,0,.22580644,0,1,0,,,,
KS,2020,8,0,1,0,0,0,0,1,0,,,,
KS,2020,9,0,1,0,0,0,0,1,0,,,,
KS,2020,10,0,1,0,0,0,0,1,0,,,,
KS,2020,11,0,1,0,0,0,0,1,0,,,,
KS,2020,12,0,1,0,0,0,0,1,0,,,,
KS,2021,1,0,1,0,0,0,0,1,0,,,,
KS,2021,2,0,1,0,0,0,0,1,0,,,,
KS,2021,3,0,1,0,0,0,0,1,0,,,,
KS,2021,4,0,1,0,0,0,0,1,0,,,,
KS,2021,5,0,1,0,0,0,0,1,0,,,,
KS,2021,6,0,1,0,0,0,0,.89999998,0,,,,
KS,2021,7,0,1,0,0,0,0,0,0,,,,
KY,2020,6,0,0,1,1,1,1,.22222222,1,,,,
KY,2020,7,0,0,1,1,.22580644,1,1,.12903225,,,,
KY,2020,8,0,0,1,1,0,1,1,1,,,,
KY,2020,9,0,0,1,1,0,1,1,1,,,,
KY,2020,10,0,0,1,1,0,1,1,1,,,,
KY,2020,11,0,0,1,1,0,1,1,1,,,,
KY,2020,12,0,0,1,.41935483,0,1,1,1,,,,
KY,2021,1,0,0,1,0,0,1,1,1,,,,
KY,2021,2,0,0,1,0,0,1,1,1,,,,
KY,2021,3,0,0,1,0,0,1,1,1,,,,
KY,2021,4,0,0,1,0,0,1,1,1,,,,
